scenario,frame,tick_ms,end_to_end_ms,input_read_ms,pipeline_ms,output_write_ms,tick_duration_ms,runtime_orchestrator_rebuild_count,runtime_orchestrator_rebuild_reason,write_status,wrote_this_tick
axis_sine_fake,0,16,14.273,0.106,0.638,0.02,1.197,2,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,1,16,3.353,0.082,0.572,0.02,1.058,3,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,2,16,3.357,0.099,0.68,0.02,1.207,4,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,3,16,3.658,0.098,0.726,0.017,1.296,5,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,4,16,3.234,0.072,0.856,0.017,1.228,6,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,5,16,2.746,0.074,0.548,0.017,0.906,7,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,6,16,13.19,0.092,0.81,0.014,1.278,8,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,7,16,13.981,0.122,0.756,0.014,1.298,9,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,8,16,4.18,0.123,0.783,0.014,1.39,10,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,9,16,3.33,0.072,0.546,0.011,0.915,11,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,10,16,3.745,0.077,0.85,0.011,1.306,12,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,11,16,13.414,0.104,0.683,0.011,1.21,13,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,12,16,11.355,0.101,0.839,0.019,1.345,14,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,13,16,16.094,0.11,1.038,0.019,2.118,15,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,14,16,3.458,0.081,0.76,0.019,1.321,16,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,15,16,4.043,0.11,1.027,0.023,1.547,17,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,16,16,17.63,0.108,0.77,0.023,1.349,18,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,17,16,12.025,0.086,0.586,0.023,1.01,19,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,18,16,3.638,0.112,0.8,0.015,1.398,20,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,19,16,3.503,0.134,0.71,0.015,1.389,21,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,20,16,4.182,0.114,0.86,0.015,1.477,22,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,21,16,4.021,0.109,0.734,0.016,1.272,23,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,22,16,11.02,0.078,0.844,0.016,1.257,24,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,23,16,3.372,0.073,0.54,0.016,0.918,25,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,24,16,3.691,0.097,0.976,0.022,1.479,26,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,25,16,10.82,0.138,0.79,0.022,1.369,27,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,26,16,2.99,0.091,0.594,0.022,1.076,28,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,27,16,13.397,0.08,0.903,0.019,1.364,29,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,28,16,4.75,0.121,0.87,0.019,1.493,30,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,29,16,4.251,0.186,0.806,0.019,1.495,31,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,30,16,15.213,0.163,1.296,0.022,2.078,32,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,31,16,24.445,0.102,1.035,0.022,1.664,33,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,32,16,3.906,0.106,0.895,0.022,1.458,34,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,33,16,3.797,0.089,0.782,0.016,1.258,35,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,34,16,23.318,0.129,0.955,0.016,1.659,36,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,35,16,4.73,0.083,0.57,0.016,0.98,37,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,36,16,3.727,0.098,0.793,0.015,1.25,38,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,37,16,3.029,0.088,0.605,0.015,1.051,39,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,38,16,3.194,0.083,0.733,0.015,1.108,40,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,39,16,10.734,0.084,0.67,0.012,1.078,41,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,40,16,3.984,0.116,0.892,0.012,1.489,42,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,41,16,2.821,0.103,0.561,0.012,0.995,43,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,42,16,4.405,0.099,0.747,0.015,1.362,44,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,43,16,3.693,0.088,0.699,0.015,1.158,45,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,44,16,3.315,0.108,0.6,0.015,1.097,46,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,45,16,2.875,0.073,0.58,0.012,0.944,47,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,46,16,3.55,0.094,0.788,0.012,1.251,48,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,47,16,3.311,0.087,0.738,0.012,1.234,49,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,48,16,3.046,0.123,0.654,0.015,1.212,50,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,49,16,3.306,0.099,0.842,0.015,1.295,51,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,50,16,2.634,0.066,0.531,0.015,0.848,52,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,51,16,3.716,0.089,0.891,0.015,1.313,53,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,52,16,3.635,0.093,0.792,0.015,1.232,54,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,53,16,3.448,0.082,0.573,0.015,1.021,55,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,54,16,10.483,0.089,0.726,0.017,1.242,56,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,55,16,3.029,0.091,0.605,0.017,1.071,57,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,56,16,3.839,0.09,0.609,0.017,1.028,58,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,57,16,23.656,0.093,0.62,0.014,1.114,59,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,58,16,18.518,0.124,1.1,0.014,1.781,60,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,59,16,3.564,0.109,0.974,0.014,1.6,61,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,60,16,3.862,0.132,0.839,0.017,1.339,62,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,61,16,2.927,0.086,0.539,0.017,0.92,63,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,62,16,3.399,0.107,0.843,0.017,1.353,64,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,63,16,3.237,0.126,0.767,0.012,1.3,65,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,64,16,11.237,0.068,0.544,0.012,0.875,66,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,65,16,3.372,0.087,0.574,0.012,0.97,67,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,66,16,2.762,0.083,0.6,0.011,1.007,68,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,67,16,3.221,0.071,0.701,0.011,1.078,69,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,68,16,3.66,0.122,0.79,0.011,1.323,70,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,69,16,3.786,0.1,0.889,0.02,1.412,71,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,70,16,24.233,0.101,0.777,0.02,1.237,72,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,71,16,10.506,0.116,0.915,0.02,1.501,73,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,72,16,3.82,0.082,0.823,0.017,1.257,74,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,73,16,3.075,0.084,0.658,0.017,1.125,75,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,74,16,2.785,0.068,0.55,0.017,0.88,76,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,75,16,2.838,0.07,0.682,0.017,1.064,77,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,76,16,3.771,0.083,0.816,0.017,1.212,78,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,77,16,26.643,0.262,1.842,0.017,2.822,79,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,78,16,12.107,0.129,0.874,0.022,1.461,80,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,79,16,4.773,0.113,1.175,0.022,1.79,81,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,80,16,3.559,0.079,0.852,0.022,1.373,82,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,81,16,3.394,0.119,0.801,0.015,1.379,83,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,82,16,3.801,0.1,0.892,0.015,1.385,84,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,83,16,3.172,0.073,0.543,0.015,0.904,85,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,84,16,3.904,0.106,1.087,0.024,1.622,86,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,85,16,3.29,0.09,0.62,0.024,1.073,87,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,86,16,3.725,0.072,0.855,0.024,1.235,88,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,87,16,4.054,0.117,0.995,0.018,1.557,89,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,88,16,3.279,0.105,0.689,0.018,1.293,90,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,89,16,3.111,0.096,0.57,0.018,1.002,91,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,90,16,3.258,0.067,0.558,0.012,0.883,92,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,91,16,3.065,0.074,0.593,0.012,0.965,93,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,92,16,3.325,0.108,0.722,0.012,1.197,94,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,93,16,3.647,0.069,0.602,0.012,0.986,95,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,94,16,2.968,0.076,0.625,0.012,1.028,96,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,95,16,22.092,0.092,0.625,0.012,1.08,97,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,96,16,3.834,0.092,0.83,0.019,1.297,98,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,97,16,2.94,0.075,0.542,0.019,0.914,99,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,98,16,3.304,0.072,0.727,0.019,1.164,100,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,99,16,3.245,0.078,0.687,0.014,1.054,101,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,100,16,12.426,0.077,0.582,0.014,1.103,102,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,101,16,11.317,0.091,1.226,0.014,2.011,103,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,102,16,3.174,0.074,0.641,0.014,1.012,104,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,103,16,11.285,0.163,0.735,0.014,1.384,105,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,104,16,3.0,0.076,0.552,0.014,0.923,106,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,105,16,4.52,0.098,0.933,0.02,1.452,107,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,106,16,24.8,0.126,0.92,0.02,1.579,108,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,107,16,12.662,0.097,0.709,0.02,1.2,109,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,108,16,4.478,0.109,0.986,0.019,1.539,110,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,109,16,4.224,0.158,0.917,0.019,1.666,111,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,110,16,3.099,0.118,0.748,0.019,1.281,112,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,111,16,12.113,0.175,1.402,0.021,2.181,113,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,112,16,3.552,0.127,1.051,0.021,1.682,114,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,113,16,3.527,0.101,0.71,0.021,1.188,115,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,114,16,3.586,0.082,0.628,0.014,1.098,116,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,115,16,2.619,0.079,0.555,0.014,0.919,117,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,116,16,2.861,0.085,0.689,0.014,1.097,118,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,117,16,2.534,0.064,0.557,0.013,0.871,119,runtime_context_changed,fake_write_recorded,True
axis_sine_fake,118,16,13.056,0.071,1.263,0.013,1.64,120,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,119,16,3.251,0.078,0.607,0.013,1.014,121,runtime_context_changed,skipped_rate_limited,False
axis_sine_fake,120,16,3.15,0.092,0.702,0.015,1.146,122,runtime_context_changed,fake_write_recorded,True
