scenario,frame,button,input_pressed,expected_pressed,expected_output_button,vjoy_output_pressed,wrote_this_tick,write_status
axis_sine_fake,0,B1,False,False,Out1,False,True,fake_write_recorded
axis_sine_fake,0,B2,False,False,Out2,False,True,fake_write_recorded
axis_sine_fake,0,B3,False,False,Out3,False,True,fake_write_recorded
axis_sine_fake,0,B4,False,False,Out4,False,True,fake_write_recorded
axis_sine_fake,0,B5,False,False,Out5,False,True,fake_write_recorded
axis_sine_fake,0,B6,False,False,Out6,False,True,fake_write_recorded
axis_sine_fake,0,B7,False,False,Out7,False,True,fake_write_recorded
axis_sine_fake,0,B8,False,False,Out8,False,True,fake_write_recorded
axis_sine_fake,0,B9,False,False,Out9,False,True,fake_write_recorded
axis_sine_fake,0,B10,False,False,Out10,False,True,fake_write_recorded
axis_sine_fake,0,B11,False,False,Out11,False,True,fake_write_recorded
axis_sine_fake,0,B12,False,False,Out12,False,True,fake_write_recorded
axis_sine_fake,0,B13,False,False,Out13,False,True,fake_write_recorded
axis_sine_fake,0,B14,False,False,Out14,False,True,fake_write_recorded
axis_sine_fake,0,B15,False,False,Out15,False,True,fake_write_recorded
axis_sine_fake,1,B1,False,False,Out1,False,False,skipped_rate_limited
axis_sine_fake,1,B2,False,False,Out2,False,False,skipped_rate_limited
axis_sine_fake,1,B3,False,False,Out3,False,False,skipped_rate_limited
axis_sine_fake,1,B4,False,False,Out4,False,False,skipped_rate_limited
axis_sine_fake,1,B5,False,False,Out5,False,False,skipped_rate_limited
axis_sine_fake,1,B6,False,False,Out6,False,False,skipped_rate_limited
axis_sine_fake,1,B7,False,False,Out7,False,False,skipped_rate_limited
axis_sine_fake,1,B8,False,False,Out8,False,False,skipped_rate_limited
axis_sine_fake,1,B9,False,False,Out9,False,False,skipped_rate_limited
axis_sine_fake,1,B10,False,False,Out10,False,False,skipped_rate_limited
axis_sine_fake,1,B11,False,False,Out11,False,False,skipped_rate_limited
axis_sine_fake,1,B12,False,False,Out12,False,False,skipped_rate_limited
axis_sine_fake,1,B13,False,False,Out13,False,False,skipped_rate_limited
axis_sine_fake,1,B14,False,False,Out14,False,False,skipped_rate_limited
axis_sine_fake,1,B15,False,False,Out15,False,False,skipped_rate_limited
axis_sine_fake,2,B1,False,False,Out1,False,False,skipped_rate_limited
axis_sine_fake,2,B2,False,False,Out2,False,False,skipped_rate_limited
axis_sine_fake,2,B3,False,False,Out3,False,False,skipped_rate_limited
axis_sine_fake,2,B4,False,False,Out4,False,False,skipped_rate_limited
axis_sine_fake,2,B5,False,False,Out5,False,False,skipped_rate_limited
axis_sine_fake,2,B6,False,False,Out6,False,False,skipped_rate_limited
axis_sine_fake,2,B7,False,False,Out7,False,False,skipped_rate_limited
axis_sine_fake,2,B8,False,False,Out8,False,False,skipped_rate_limited
axis_sine_fake,2,B9,False,False,Out9,False,False,skipped_rate_limited
axis_sine_fake,2,B10,False,False,Out10,False,False,skipped_rate_limited
axis_sine_fake,2,B11,False,False,Out11,False,False,skipped_rate_limited
axis_sine_fake,2,B12,False,False,Out12,False,False,skipped_rate_limited
axis_sine_fake,2,B13,False,False,Out13,False,False,skipped_rate_limited
axis_sine_fake,2,B14,False,False,Out14,False,False,skipped_rate_limited
axis_sine_fake,2,B15,False,False,Out15,False,False,skipped_rate_limited
axis_sine_fake,3,B1,False,False,Out1,False,True,fake_write_recorded
axis_sine_fake,3,B2,False,False,Out2,False,True,fake_write_recorded
axis_sine_fake,3,B3,False,False,Out3,False,True,fake_write_recorded
axis_sine_fake,3,B4,False,False,Out4,False,True,fake_write_recorded
axis_sine_fake,3,B5,False,False,Out5,False,True,fake_write_recorded
axis_sine_fake,3,B6,False,False,Out6,False,True,fake_write_recorded
axis_sine_fake,3,B7,False,False,Out7,False,True,fake_write_recorded
axis_sine_fake,3,B8,False,False,Out8,False,True,fake_write_recorded
axis_sine_fake,3,B9,False,False,Out9,False,True,fake_write_recorded
axis_sine_fake,3,B10,False,False,Out10,False,True,fake_write_recorded
